experiment_id,set_id,env,env_id,bb,bb_id,dpbs_vol,bb_vol,env_vol,biot_vol
20180625,20180625A,B15031_XPR_514,20180321B,pNL4-3-EGFP,20180531B,471.45,12.95,0.6,15.0
20180625,20180625B,B15031_XPR_516,20161010C,pNL4-3-EGFP,20180531B,470.75,12.95,1.3,15.0
20180625,20180625C,B20101_XPR_310,20180327J,pNL4-3-EGFP,20180531B,471.81,12.95,0.24,15.0
20180625,20180625D,B20101_XPR_403,20180327K,pNL4-3-EGFP,20180531B,471.47,12.95,0.58,15.0
20180625,20180625E,B20101_XPR_404,20180327L,pNL4-3-EGFP,20180531B,471.78,12.95,0.27,15.0
20180625,20180625F,B25551_XPR_231,20180214Q,pNL4-3-EGFP,20180531B,470.45,12.95,1.59,15.0
20180625,20180625G,B27051_PL_404,20180402G,pNL4-3-EGFP,20180531B,471.63,12.95,0.42,15.0
20180625,20180625H,M15030_XPD_4301,20161010F,pNL4-3-EGFP,20180531B,471.16,12.95,0.89,15.0
20180625,20180625I,M15030_XPR_318,20170224K,pNL4-3-EGFP,20180531B,471.28,12.95,0.77,15.0
20180625,20180625J,M25550_BML_459,20180213C,pNL4-3-EGFP,20180531B,471.28,12.95,0.77,15.0
20180625,20180625K,M25550_BMR_322,20180213A,pNL4-3-EGFP,20180531B,471.39,12.95,0.66,15.0
20180625,20180625L,M25550_PL_1275,20180213O,pNL4-3-EGFP,20180531B,470.76,12.95,1.29,15.0
20180625,20180625M,M25550_PL_816,20180214N,pNL4-3-EGFP,20180531B,471.85,12.95,0.2,15.0
20180625,20180625N,M25550_XPR_724,20180214E,pNL4-3-EGFP,20180531B,471.55,12.95,0.5,15.0
20180625,20180625O,M27050_PL_105,20180402K,pNL4-3-EGFP,20180531B,471.79,12.95,0.25,15.0
20180625,20180625P,M27050_XPD_2104,20180402O,pNL4-3-EGFP,20180531B,471.89,12.95,0.16,15.0
20180709,20180709A,CNE55,20180329L,pNL4-3-EGFP,20180531D,470.98,13.78,0.25,15.0
20180709,20180709B,CE1176,20180329H,pNL4-3-EGFP,20180531D,470.69,13.78,0.53,15.0
20180709,20180709C,TRO.11,20180329A,pNL4-3-EGFP,20180531D,470.92,13.78,0.3,15.0
20180709,20180709D,25710,20180329B,pNL4-3-EGFP,20180531D,470.8,13.78,0.43,15.0
20180709,20180709E,CE0217,20180329K,pNL4-3-EGFP,20180531D,470.99,13.78,0.23,15.0
20180709,20180709F,X2278,20180329E,pNL4-3-EGFP,20180531D,470.94,13.78,0.28,15.0
20180709,20180709G,246F3,20180329I,pNL4-3-EGFP,20180531D,471.01,13.78,0.22,15.0
20180709,20180709H,398F1,20180329C,pNL4-3-EGFP,20180531D,470.87,13.78,0.35,15.0
20180709,20180709I,BaL,20170712,pNL4-3-EGFP,20180531D,470.54,13.78,0.68,15.0
20180709,20180709J,BaL,20170712,pNL4-3-EGFP,20180531D,470.54,13.78,0.68,15.0
