env,curve,could_fit,experiment_id,set_id,sample_id,value,_time,_bnorm_avg,_bnorm_std
B24731_XPD_528,1,0,20190505,P5V1,C,2550,0,0.012209406,0.004737452
B24731_XPD_528,1,0,20190505,P5V1,INFTY,29306,119.2666667,1,0.073345797
B24731_XPD_528,1,0,20190505,P5V1,T1,4834,4.183333333,0.093238687,0.00675688
B24731_XPD_528,1,0,20190505,P5V1,T2,7127,7.116666667,0.202005324,0.038115657
B24731_XPD_528,1,0,20190505,P5V1,T3,14845,23.95,0.509653949,0.088251931
B24731_XPD_528,1,0,20190505,P5V1,T4,21256,44.08333333,0.650665484,0.051191039
B24731_XPD_528,1,0,20190505,P5V1,T5,21636,63.46666667,0.754196983,0.097366528
B24731_XPD_528,1,0,20190505,P5V1,T6,25867,87.5,0.906015972,0.102856385
B24731_XPD_528,1,0,20190505,P5V1,ZERO,2243,0,0,
B24731_XPD_528,2,0,20190505,P5V2,C,2461,0,0.021062988,0.006095531
B24731_XPD_528,2,0,20190505,P5V2,INFTY,27429,119.2666667,1,0.044062649
B24731_XPD_528,2,0,20190505,P5V2,T1,2402,4.183333333,0.015400679,0.005650659
B24731_XPD_528,2,0,20190505,P5V2,T2,4747,7.116666667,0.113587535,0.007493891
B24731_XPD_528,2,0,20190505,P5V2,T3,10494,23.95,0.404975604,0.090631406
B24731_XPD_528,2,0,20190505,P5V2,T4,16072,44.08333333,0.625845833,0.087526937
B24731_XPD_528,2,0,20190505,P5V2,T5,14674,63.46666667,0.638696464,0.183887135
B24731_XPD_528,2,0,20190505,P5V2,T6,18789,87.5,0.74027669,0.095660865
B24731_XPD_528,2,0,20190505,P5V2,ZERO,1893,0,0,
B24731_XPD_528,3,0,20190506,P5V1,C,1952,0,0.001825872,0.004477515
B24731_XPD_528,3,0,20190506,P5V1,INFTY,73252,134.3666667,1,0.009718732
B24731_XPD_528,3,0,20190506,P5V1,T1,5754,4.266666667,0.060437081,0.011063819
B24731_XPD_528,3,0,20190506,P5V1,T2,14688,8.066666667,0.188191752,0.013594237
B24731_XPD_528,3,0,20190506,P5V1,T3,42469,28.53333333,0.578075432,0.011720702
B24731_XPD_528,3,0,20190506,P5V1,T4,57412,47.63333333,0.724490659,0.080362014
B24731_XPD_528,3,0,20190506,P5V1,T5,54594,67.5,0.728783927,0.018767328
B24731_XPD_528,3,0,20190506,P5V1,T6,53346,88.11666667,0.792879803,0.097809352
B24731_XPD_528,3,0,20190506,P5V1,ZERO,1879,0,0,
B24731_XPD_528,4,0,20190506,P5V2,C,2227,0,0.009728916,0.010032074
B24731_XPD_528,4,0,20190506,P5V2,INFTY,50973,134.3666667,1,0.530526942
B24731_XPD_528,4,0,20190506,P5V2,T1,1596,4.266666667,0.004343,0.011874545
B24731_XPD_528,4,0,20190506,P5V2,T2,4811,8.066666667,0.056161026,0.026347504
B24731_XPD_528,4,0,20190506,P5V2,T3,36314,28.53333333,0.563852532,0.22209757
B24731_XPD_528,4,0,20190506,P5V2,T4,36830,47.63333333,0.675623329,0.332024107
B24731_XPD_528,4,0,20190506,P5V2,T5,44070,67.5,0.776272171,0.355716521
B24731_XPD_528,4,0,20190506,P5V2,T6,53274,88.11666667,0.908134,0.393455169
B24731_XPD_528,4,0,20190506,P5V2,ZERO,1216,0,0,
B24731_XPD_528,5,1,20190506,P7V1,C,2228,0,-0.00313961,-0.004224118
B24731_XPD_528,5,1,20190506,P7V1,INFTY,80907,130.2166667,1,0.136563051
B24731_XPD_528,5,1,20190506,P7V1,T1,8462,4.283333333,0.080879091,0.008358058
B24731_XPD_528,5,1,20190506,P7V1,T2,15897,7.216666667,0.193577449,0.026032749
B24731_XPD_528,5,1,20190506,P7V1,T3,50299,26.36666667,0.633900966,0.06556732
B24731_XPD_528,5,1,20190506,P7V1,T4,66682,45.43333333,0.84484865,0.091486673
B24731_XPD_528,5,1,20190506,P7V1,T5,65213,65.31666667,0.938293008,0.149707533
B24731_XPD_528,5,1,20190506,P7V1,T6,63180,85.9,0.892570727,0.127361453
B24731_XPD_528,5,1,20190506,P7V1,ZERO,2755,0,0,
B24731_XPD_528,6,1,20190506,P7V2,C,2394,0,0.004712593,0.002589131
B24731_XPD_528,6,1,20190506,P7V2,INFTY,52110,130.2166667,1,0.264759479
B24731_XPD_528,6,1,20190506,P7V2,T1,2397,4.283333333,0.003773552,0.0013814
B24731_XPD_528,6,1,20190506,P7V2,T2,5609,7.216666667,0.062454896,0.01270292
B24731_XPD_528,6,1,20190506,P7V2,T3,36954,26.36666667,0.646920729,0.135433124
B24731_XPD_528,6,1,20190506,P7V2,T4,53850,45.43333333,0.89583605,0.167738979
B24731_XPD_528,6,1,20190506,P7V2,T5,57265,65.31666667,0.918668649,0.180442322
B24731_XPD_528,6,1,20190506,P7V2,T6,55970,85.9,0.809435619,0.233171884
B24731_XPD_528,6,1,20190506,P7V2,ZERO,2186,0,0,
B24731_XPD_704_NB1,7,0,20190401,P5V1,C,1602,0,-0.00223481,-0.001108703
B24731_XPD_704_NB1,7,0,20190401,P5V1,INFTY,138649,121.2333333,1,0.179133757
B24731_XPD_704_NB1,7,0,20190401,P5V1,T1,34577,8.466666667,0.238973342,0.04284124
B24731_XPD_704_NB1,7,0,20190401,P5V1,T2,57347,14.16666667,0.421574486,0.060594469
B24731_XPD_704_NB1,7,0,20190401,P5V1,T3,71652,24,0.524300078,0.079961887
B24731_XPD_704_NB1,7,0,20190401,P5V1,T4,104669,39.41666667,0.716171104,0.171204259
B24731_XPD_704_NB1,7,0,20190401,P5V1,T5,119099,59.26666667,0.857713084,0.152919254
B24731_XPD_704_NB1,7,0,20190401,P5V1,T6,127138,88.85,0.919403413,0.160848291
B24731_XPD_704_NB1,7,0,20190401,P5V1,ZERO,1988,0,0,
B24731_XPD_704_NB1,8,0,20190401,P5V2,C,1570,0,0.007329686,0.001787875
B24731_XPD_704_NB1,8,0,20190401,P5V2,INFTY,82382,121.2333333,1,0.042435563
B24731_XPD_704_NB1,8,0,20190401,P5V2,T1,5934,8.466666667,0.112500752,0.075087576
B24731_XPD_704_NB1,8,0,20190401,P5V2,T2,27504,14.16666667,0.305441645,0.021153654
B24731_XPD_704_NB1,8,0,20190401,P5V2,T3,45888,24,0.532210931,0.019435166
B24731_XPD_704_NB1,8,0,20190401,P5V2,T4,57195,39.41666667,0.740779268,0.094389091
B24731_XPD_704_NB1,8,0,20190401,P5V2,T5,41438,59.26666667,0.639733029,0.217651101
B24731_XPD_704_NB1,8,0,20190401,P5V2,T6,95551,88.85,1.082298118,0.084157204
B24731_XPD_704_NB1,8,0,20190401,P5V2,ZERO,888,0,0,
B24731_XPD_704_NB1,9,0,20190430,P1V1,C,1493,0,0.003643476,0.000613417
B24731_XPD_704_NB1,9,0,20190430,P1V1,INFTY,97651,114.3666667,1,0.030183048
B24731_XPD_704_NB1,9,0,20190430,P1V1,T1,14046,5.533333333,0.126254581,0.014014559
B24731_XPD_704_NB1,9,0,20190430,P1V1,T2,31659,10.16666667,0.290116349,0.044363527
B24731_XPD_704_NB1,9,0,20190430,P1V1,T3,68155,26.45,0.618018643,0.123626387
B24731_XPD_704_NB1,9,0,20190430,P1V1,T4,60731,46.7,0.611509808,0.025347452
B24731_XPD_704_NB1,9,0,20190430,P1V1,T5,70538,66.68333333,0.688264644,0.060815765
B24731_XPD_704_NB1,9,0,20190430,P1V1,T6,84155,86.83333333,0.835559902,0.056110113
B24731_XPD_704_NB1,9,0,20190430,P1V1,ZERO,1140,0,0,
B24731_XPD_704_NB1,10,0,20190430,P1V2,C,1608,0,0.007113871,0.000878573
B24731_XPD_704_NB1,10,0,20190430,P1V2,INFTY,85802,114.3666667,1,0.071853976
B24731_XPD_704_NB1,10,0,20190430,P1V2,T1,8535,5.533333333,0.089308414,0.005518958
B24731_XPD_704_NB1,10,0,20190430,P1V2,T2,20392,10.16666667,0.242892241,0.015389882
B24731_XPD_704_NB1,10,0,20190430,P1V2,T3,49579,26.45,0.601433775,0.032726008
B24731_XPD_704_NB1,10,0,20190430,P1V2,T4,64339,46.7,0.835286999,0.097043634
B24731_XPD_704_NB1,10,0,20190430,P1V2,T5,73223,66.68333333,0.820496993,0.096670574
B24731_XPD_704_NB1,10,0,20190430,P1V2,T6,73687,86.83333333,0.865930426,0.053816798
B24731_XPD_704_NB1,10,0,20190430,P1V2,ZERO,1012,0,0,
B24731_XPD_704_NB1,11,0,20190430,P3V1,C,1837,0,0.005062408,0.005337519
B24731_XPD_704_NB1,11,0,20190430,P3V1,INFTY,106431,109.8,1,0.220366464
B24731_XPD_704_NB1,11,0,20190430,P3V1,T1,15258,4.933333333,0.12395502,0.037694336
B24731_XPD_704_NB1,11,0,20190430,P3V1,T2,29884,9,0.25970471,0.071382059
B24731_XPD_704_NB1,11,0,20190430,P3V1,T3,61348,24.28333333,0.596666631,0.106806371
