experiment_id,set_id,env,env_id,bb,bb_id,DPBS_vol,bb_vol,env_vol,biot_vol
20180625,20180625A,B15031_XPR_514,20180321B,pNL4-3-EGFP,20180531B,479.38,2.43,3.19,15.0
20180625,20180625B,B15031_XPR_516,20161010C,pNL4-3-EGFP,20180531B,475.63,2.43,6.95,15.0
20180625,20180625C,B20101_XPR_310,20180327J,pNL4-3-EGFP,20180531B,481.28,2.43,1.3,15.0
20180625,20180625D,B20101_XPR_403,20180327K,pNL4-3-EGFP,20180531B,479.49,2.43,3.09,15.0
20180625,20180625E,B20101_XPR_404,20180327L,pNL4-3-EGFP,20180531B,481.14,2.43,1.43,15.0
20180625,20180625F,B25551_XPR_231,20180214Q,pNL4-3-EGFP,20180531B,474.07,2.43,8.51,15.0
20180625,20180625G,B27051_PL_404,20180402G,pNL4-3-EGFP,20180531B,480.32,2.43,2.25,15.0
20180625,20180625H,M15030_XPD_4301,20161010F,pNL4-3-EGFP,20180531B,477.83,2.43,4.74,15.0
20180625,20180625I,M15030_XPR_318,20170224K,pNL4-3-EGFP,20180531B,478.46,2.43,4.11,15.0
20180625,20180625J,M25550_BML_459,20180213C,pNL4-3-EGFP,20180531B,478.49,2.43,4.08,15.0
20180625,20180625K,M25550_BMR_322,20180213A,pNL4-3-EGFP,20180531B,479.05,2.43,3.52,15.0
20180625,20180625L,M25550_PL_1275,20180213O,pNL4-3-EGFP,20180531B,475.68,2.43,6.89,15.0
20180625,20180625M,M25550_PL_816,20180214N,pNL4-3-EGFP,20180531B,481.51,2.43,1.06,15.0
20180625,20180625N,M25550_XPR_724,20180214E,pNL4-3-EGFP,20180531B,479.89,2.43,2.68,15.0
20180625,20180625O,M27050_PL_105,20180402K,pNL4-3-EGFP,20180531B,481.21,2.43,1.36,15.0
20180625,20180625P,M27050_XPD_2104,20180402O,pNL4-3-EGFP,20180531B,481.7,2.43,0.87,15.0
20180709,20180709A,CNE55,20180329L,pNL4-3-EGFP,20180531D,481.11,2.58,1.31,15.0
20180709,20180709B,CE1176,20180329H,pNL4-3-EGFP,20180531D,479.58,2.58,2.84,15.0
20180709,20180709C,TRO.11,20180329A,pNL4-3-EGFP,20180531D,480.82,2.58,1.59,15.0
20180709,20180709D,25710,20180329B,pNL4-3-EGFP,20180531D,480.15,2.58,2.27,15.0
20180709,20180709E,CE0217,20180329K,pNL4-3-EGFP,20180531D,481.16,2.58,1.25,15.0
20180709,20180709F,X2278,20180329E,pNL4-3-EGFP,20180531D,480.93,2.58,1.49,15.0
20180709,20180709G,246F3,20180329I,pNL4-3-EGFP,20180531D,481.27,2.58,1.15,15.0
20180709,20180709H,398F1,20180329C,pNL4-3-EGFP,20180531D,480.52,2.58,1.89,15.0
20180709,20180709I,BaL,20170712,pNL4-3-EGFP,20180531D,478.77,2.58,3.65,15.0
20180709,20180709J,BaL,20170712,pNL4-3-EGFP,20180531D,478.77,2.58,3.65,15.0
